"title","documentsCount"
"Acta Universitatis Agriculturae Et Silviculturae Mendelianae Brunensis","1840"
"Journal of Forest Science","327"
"Czech Journal of Animal Science","176"
"Listy Cukrovarnicke A Reparske","168"
"Forests","158"
"Acta Horticulturae","155"
"Zpravy Lesnickeho Vyzkumu","116"
"International Journal of Electrochemical Science","97"
"Zootaxa","97"
"Sustainability Switzerland","88"
"Ekologia Bratislava","85"
"Chemicke Listy","79"
"Public Recreation and Landscape Protection with Sense Hand in Hand Conference Proceedings","78"
"Forest Ecology and Management","77"
"Scientific Reports","77"
"Plos One","75"
"Acta Veterinaria Brno","73"
"Agronomy","73"
"Plant Soil and Environment","70"
"Rostlinna Vyroba","59"
"Potravinarstvo Slovak Journal of Food Sciences","58"
"International Multidisciplinary Scientific Geoconference Surveying Geology and Mining Ecology Management Sgem","57"
"Electrophoresis","56"
"Horticultural Science","56"
"Molecules","56"
"Agricultural Economics","55"
"Aip Conference Proceedings","51"
"International Journal of Molecular Sciences","49"
"Science of the Total Environment","49"
"Wood Research","49"
"Biologia Plantarum","48"
"Bioresources","47"
"Contributions to Geophysics and Geodesy","47"
"Public Recreation and Landscape Protection with Nature Hand in Hand Conference Proceeding 2017","47"
"Czech Journal of Food Sciences","46"
"Public Recreation and Landscape Protection with Sense Hand in Hand Conference Proceeding","46"
"European Journal of Business Science and Technology","45"
"Plant Protection Science","45"
"Veterinarni Medicina","45"
"Agriculture Switzerland","43"
"Frontiers in Plant Science","43"
"Plants","42"
"Ekonomicky Casopis","41"
"Public Recreation and Landscape Protection with Nature Hand in Hand Conference Proceeding 2018","41"
"Trees Structure and Function","41"
"Agricultural Economics Czech Republic","39"
"Land","39"
"Potravinarstvo","39"
"Public Recreation and Landscape Protection with Environment Hand in Hand Proceedings of the 13th Conference","39"
"Public Recreation and Landscape Protection with Man Hand in Hand 2015 Conference Proceeding","39"
"Applied Sciences Switzerland","36"
"Sensors","36"
"Public Recreation and Landscape Protection with Man Hand in Hand 2014 Conference Proceeding","34"
"Chemosphere","33"
"Materials","33"
"Agricultural and Forest Meteorology","32"
"Animals","32"
"Polish Journal of Environmental Studies","32"
"Acta Entomologica Musei Nationalis Pragae","31"
"Biologia","31"
"European Countryside","30"
"International Journal of Environmental Research and Public Health","30"
"Journal of Microbiology Biotechnology and Food Sciences","30"
"Soil and Water Research","30"
"Tree Physiology","30"
"Journal of Ecological Engineering","29"
"Nanocon Conference Proceedings International Conference on Nanomaterials","29"
"Analytica Chimica Acta","28"
"European Journal of Forest Research","28"
"Zivocisna Vyroba","28"
"Drvna Industrija","27"
"Journal of Chromatography A","27"
"Iforest","26"
"Neuroendocrinology Letters","26"
"Public Recreation and Landscape Protection with Nature Hand in Hand 2016 Conference Proceedings","26"
"Annales Zoologici","25"
"Archives Animal Breeding","25"
"European Journal of Wood and Wood Products","25"
"Research in Agricultural Engineering","25"
"Helminthologia","24"
"Horticulturae","24"
"Preslia","24"
"Acta Technologica Agriculturae","23"
"Dendrochronologia","23"
"Electroanalysis","23"
"Forest Pathology","23"
"Public Recreation and Landscape Protection with Environment Hand in Hand Proceedings of the 15th Conference","23"
"Cereal Research Communications","22"
"Journal of Landscape Ecology Czech Republic","22"
"Public Recreation and Landscape Protection with Environment Hand in Hand Proceedings of the 14th Conference","22"
"Rekreace A Ochrana Prirody Sbornik Prispevku","22"
"Advanced Functional Materials","21"
"Animal Genetics","21"
"Dendrobiology","21"
"Energies","21"
"Journal of Separation Science","21"
"Plant Disease","21"
"Chromatographia","20"
"Global Change Biology","20"
"Holzforschung","20"
"Journal of Vegetation Science","20"
"Catena","19"
"Central European Forestry Journal","19"
"European Journal of Agronomy","19"
"Journal of Agricultural and Food Chemistry","19"
"Nature Communications","19"
"Politicka Ekonomie","19"
"Phytotaxa","18"
"Plant and Soil","18"
"Polymers","18"
"Public Recreation and Landscape Protection with Man Hand in Hand 2013 Conference Proceeding","18"
"Sensors Switzerland","18"
"Wood Material Science and Engineering","18"
"Acta Fytotechnica Et Zootechnica","17"
"Annals of Forest Science","17"
"Atmosphere","17"
"Danube","17"
"Heliyon","17"
"Journal of Central European Agriculture","17"
"Saudi Journal of Biological Sciences","17"
"Talanta","17"
"Theoretical and Applied Climatology","17"
"Bulgarian Journal of Agricultural Science","16"
"Climate Research","16"
"Finance A Uver Czech Journal of Economics and Finance","16"
"Journal of Fungi","16"
"Journal of King Saud University Science","16"
"Moravian Geographical Reports","16"
"Zookeys","16"
"Acta Physiologiae Plantarum","15"
"Agris on Line Papers in Economics and Informatics","15"
"Applied Materials Today","15"
"Biological Conservation","15"
"Czech Journal of Genetics and Plant Breeding","15"
"Folia Oecologica","15"
"International Journal of Climatology","15"
"Mitteilungen Klosterneuburg","15"
"Persoonia Molecular Phylogeny and Evolution of Fungi","15"
"Water Switzerland","15"
"Agricultural Water Management","14"
"Agriculture Ecosystems and Environment","14"
"Analytical and Bioanalytical Chemistry","14"
"Chemical and Biological Technologies in Agriculture","14"
"Environmental Pollution","14"
"Environmental Science and Pollution Research","14"
"Insects","14"
"Mendel","14"
"Microorganisms","14"
"Mycological Progress","14"
"Plant Physiology and Biochemistry","14"
"South African Journal of Botany","14"
