"title","documentsCount"
"Indian Journal of Agricultural Sciences","1400"
"Indian Journal of Agronomy","451"
"Current Science","425"
"Indian Journal of Horticulture","418"
"Indian Journal of Genetics and Plant Breeding","375"
"Journal of Plant Biochemistry and Biotechnology","263"
"Frontiers in Plant Science","232"
"Scientific Reports","182"
"Indian Phytopathology","156"
"Indian Journal of Experimental Biology","145"
"Euphytica","143"
"Plant and Soil","143"
"Scientia Horticulturae","143"
"3 Biotech","142"
"Journal of Food Science and Technology","118"
"Plos One","109"
"Theoretical and Applied Genetics","109"
"Plant Breeding","103"
"Bulletin of Environmental Contamination and Toxicology","100"
"Journal of Plant Nutrition","99"
"Environmental Monitoring and Assessment","98"
"Journal of Environmental Science and Health Part B Pesticides Food Contaminants and Agricultural Wastes","98"
"Journal of Agricultural Science","96"
"Acta Horticulturae","93"
"Genetic Resources and Crop Evolution","93"
"Journal of Phytopathology","91"
"Indian Journal of Entomology","90"
"Indian Journal of Plant Physiology","88"
"Physiology and Molecular Biology of Plants","87"
"Communications in Soil Science and Plant Analysis","86"
"Legume Research","86"
"National Academy Science Letters","86"
"Field Crops Research","85"
"Plants","85"
"Vegetos","84"
"Journal of Agronomy and Crop Science","79"
"Journal of Environmental Biology","78"
"Proceedings of the National Academy of Sciences India Section B Biological Sciences","78"
"Plant Physiology Reports","75"
"Indian Journal of Agricultural Economics","73"
"Journal of Agricultural and Food Chemistry","73"
"Journal of Agrometeorology","73"
"Journal of the Indian Society of Soil Science","73"
"Indian Journal of Nematology","72"
"Frontiers in Sustainable Food Systems","71"
"Zootaxa","68"
"Archives of Agronomy and Soil Science","67"
"Nature","67"
"Plant Disease","66"
"Biologia Plantarum","65"
"Indian Journal of Microbiology","65"
"Proceedings of the Indian Academy of Sciences Section B","64"
"Indian Journal of Biotechnology","62"
"Crop Protection","61"
"Indian Journal of Biochemistry and Biophysics","60"
"Agricultural Research","59"
"Agricultural Water Management","59"
"Cereal Research Communications","59"
"Journal of Horticultural Science and Biotechnology","59"
"Journal of Scientific and Industrial Research","59"
"Archives of Phytopathology and Plant Protection","58"
"Journal of Plant Pathology","58"
"Frontiers in Microbiology","56"
"Physiological and Molecular Plant Pathology","56"
"Journal of Soil Science and Plant Nutrition","54"
"Molecular Biology Reports","54"
"World Journal of Microbiology and Biotechnology","54"
"Heliyon","53"
"Phytochemistry","53"
"Oriental Insects","52"
"Phytoparasitica","52"
"Soil and Tillage Research","51"
"Sustainability Switzerland","51"
"Phytopathogenic Mollicutes","50"
"Agriculture Ecosystems and Environment","49"
"Environmental Science and Pollution Research","49"
"Frontiers in Genetics","49"
"Physiologia Plantarum","49"
"Plant Physiology and Biochemistry","48"
"Acta Physiologiae Plantarum","47"
"Bioresource Technology","45"
"Experientia","45"
"Food Chemistry","45"
"Plant Cell Reports","45"
"Journal of Genetics","44"
"Journal of the Science of Food and Agriculture","44"
"South African Journal of Botany","44"
"Cytologia","43"
"Sugar Tech","43"
"Agronomy","42"
"Planta","42"
"Folia Microbiologica","41"
"Pestology","41"
"Experimental Agriculture","40"
"International Journal of Biological Macromolecules","40"
"Biology and Fertility of Soils","39"
"Journal of Plant Growth Regulation","39"
"Microbiological Research","39"
"Geoderma","38"
"Indian Journal of Traditional Knowledge","38"
"Journal of Basic Microbiology","38"
"Plant Science","38"
"Research Journal of Biotechnology","38"
"European Journal of Plant Pathology","37"
"Frontiers in Nutrition","36"
"Indian Journal of Extension Education","36"
"Journal of Food Composition and Analysis","36"
"Pest Management Science","36"
"Chemosphere","34"
"Functional and Integrative Genomics","34"
"Journal of the Indian Society of Remote Sensing","34"
"Range Management and Agroforestry","34"
"BMC Plant Biology","33"
"Current Microbiology","33"
"Electronic Journal of Plant Breeding","33"
"International Journal of Tropical Insect Science","33"
"Land Degradation and Development","33"
"Molecular Breeding","33"
"Plant Cell Tissue and Organ Culture","33"
"Journal of Entomological Research","32"
"Journal of Environmental Management","32"
"Journal of Pure and Applied Microbiology","32"
"Biocatalysis and Agricultural Biotechnology","31"
"Indian Journal of Economics and Development","31"
"Plant Genetic Resources Characterisation and Utilisation","31"
"Ecology Environment and Conservation","30"
"Nematology","30"
"Pesticide Research Journal","30"
"Science of the Total Environment","30"
"Archives of Virology","29"
"AMA Agricultural Mechanization in Asia Africa and Latin America","28"
"Journal of the Institution of Engineers India Agricultural Engineering Division","28"
"Nutrient Cycling in Agroecosystems","28"
"Research on Crops","28"
"Australasian Plant Pathology","27"
"Genetica","27"
"Journal of Plant Diseases and Protection","27"
"Virusdisease","27"
"A Century of Plant Virology in India","26"
"Agricultural and Biological Chemistry","26"
"Annals of Agri Bio Research","26"
"BMC Genomics","26"
"Plant Molecular Biology Reporter","26"
"Toxicological and Environmental Chemistry","26"
"Advances in Agronomy","25"
"Agriculture Switzerland","25"
"Indian Journal of Agricultural Research","25"
"Indian Journal of Virology","25"
"Journal of the American Oil Chemists Society","25"
"Plant Pathology","25"
"Annals of Applied Biology","24"
