"title","documentsCount"
"Science of the Total Environment","143"
"Hydrobiologia","142"
"Freshwater Biology","114"
"Limnology and Oceanography","106"
"Plos One","93"
"Scientific Reports","86"
"Journal of Applied Ichthyology","68"
"Water Research","65"
"Journal of Fish Biology","64"
"Hydrological Processes","63"
"Global Change Biology","61"
"Journal of Hydrology","57"
"Fisheries Research","56"
"Water Resources Research","56"
"Limnologica","54"
"Aquatic Sciences","53"
"International Review of Hydrobiology","52"
"Proceedings of the Royal Society B Biological Sciences","51"
"Environmental Science and Technology","50"
"Trends in Ecology and Evolution","45"
"Journal of Plankton Research","43"
"Aquaculture","42"
"Water Switzerland","40"
"Ecological Indicators","39"
"Fisheries Management and Ecology","38"
"Frontiers in Microbiology","37"
"Nature Communications","37"
"FEMS Microbiology Ecology","35"
"Chemosphere","34"
"Environmental Microbiology","34"
"Hydrology and Earth System Sciences","33"
"Canadian Journal of Fisheries and Aquatic Sciences","32"
"Zootaxa","32"
"Biogeosciences","29"
"Ecology and Evolution","29"
"Fish and Fisheries","29"
"Journal of Environmental Management","29"
"Oikos","29"
"Ecology","28"
"River Research and Applications","28"
"Aquatic Toxicology","27"
"Journal of Applied Ecology","27"
"Proceedings of the National Academy of Sciences of the United States of America","27"
"Aquatic Microbial Ecology","26"
"Biogeochemistry","26"
"Bioscience","26"
"Applied and Environmental Microbiology","24"
"Environmental Pollution","24"
"Animal Behaviour","23"
"Ecology Letters","23"
"Philosophical Transactions of the Royal Society B Biological Sciences","23"
"Water Science and Technology","23"
"Conservation Biology","22"
"Ecotoxicology and Environmental Safety","22"
"Environmental Science and Pollution Research","22"
"Match","22"
"Molecular Ecology","22"
"Neobiota","22"
"Ecology of Freshwater Fish","21"
"Encyclopedia of Inland Waters Second Edition","21"
"Ichthyological Exploration of Freshwaters","21"
"Oecologia","21"
"Ecohydrology","20"
"Frontiers in Ecology and Evolution","20"
"Journal of Animal Ecology","20"
"Limnology and Oceanography Methods","20"
"Wasser Und Boden","20"
"Behavioral Ecology","19"
"Environmental Toxicology","19"
"Inland Waters","19"
"Isme Journal","19"
"Journal of Phycology","19"
"Aquatic Botany","18"
"Archiv Fur Hydrobiologie","18"
"Environmental Modelling and Software","18"
"General and Comparative Endocrinology","18"
"Harmful Algae","18"
"Microbial Ecology","18"
"Sustainability Switzerland","18"
"Advances in Limnology","17"
"Biological Conservation","17"
"Scientific Data","17"
"Frontiers in Environmental Science","16"
"Molecular Phylogenetics and Evolution","16"
"Remote Sensing","16"
"Acta Hydrochimica Et Hydrobiologica","15"
"Behavioral Ecology and Sociobiology","15"
"Biological Invasions","15"
"Biological Reviews","15"
"Biology Letters","15"
"Ecosystems","15"
"Environmental Biology of Fishes","15"
"ICES Journal of Marine Science","15"
"Journal of Geophysical Research Biogeosciences","15"
"Nature Ecology and Evolution","15"
"Science","15"
"Toxicon","15"
"Wiley Interdisciplinary Reviews Water","15"
"Aquaculture International","14"
"BMC Evolutionary Biology","14"
"Current Biology","14"
"Ecological Modelling","14"
"Freshwater Science","14"
"Fundamental and Applied Limnology","14"
"Global Ecology and Biogeography","14"
"American Naturalist","13"
"Aquatic Conservation Marine and Freshwater Ecosystems","13"
"Frontiers in Marine Science","13"
"Functional Ecology","13"
"Geophysical Research Letters","13"
"Limnology and Oceanography Bulletin","13"
"Molecular Ecology Resources","13"
"Nature","13"
"Communications Biology","12"
"Diversity and Distributions","12"
"Ecography","12"
"Ecological Engineering","12"
"Environmental Management","12"
"Methods to Study Litter Decomposition A Practical Guide","12"
"North American Journal of Fisheries Management","12"
"Parasitology","12"
"Reviews in Fish Biology and Fisheries","12"
"Ecosphere","11"
"Environmental Microbiology Reports","11"
"Environmental Research","11"
"IAHS AISH Publication","11"
"Journal of Biogeography","11"
"Marine Ecology Progress Series","11"
"Measuring and Understanding Complex Phenomena Indicators and their Analysis in Different Scientific Fields","11"
"Rivers of Europe","11"
"Royal Society Open Science","11"
"Wasserwirtschaft","11"
"Aquatic Ecology","10"
"Diseases of Aquatic Organisms","10"
"Frontiers in Ecology and the Environment","10"
"Journal of Hazardous Materials","10"
"Marine Biology","10"
"Peerj","10"
"Phycologia","10"
"Science Advances","10"
"Ambio","9"
"Aquacultural Engineering","9"
"Aquaculture Research","9"
"Biodiversity and Conservation","9"
"Communications Earth and Environment","9"
"Environmental Earth Sciences","9"
"Environmental Monitoring and Assessment","9"
"Environmental Toxicology and Chemistry","9"
"Journal of Limnology","9"
"Journal of the North American Benthological Society","9"
"Limnology and Oceanography Letters","9"
